CVDBB_bbands_length,CVDBB_bbands_stddev,CVDBB_cvd_length,CVDBB_atr_length,CVDBB_sl_coef,CVDBB_tpsl_ratio,period,end_value,total_return_pct,benchmark_return_pct,total_fees_paid,max_drawdown_pct,max_drawdown_duration,total_trades,win_rate_pct,best_trade_pct,worst_trade_pct,avg_winning_trade_pct,avg_losing_trade_pct,profit_factor,expectancy,sharpe_ratio,calmar_ratio,omega_ratio,sortino_ratio
39,4.644429,38,17,2.942854,4.197731,218 days 10:00:00,867.198401,-13.280160,-50.755473,10.516928,17.194181,130 days 15:00:00,38,10.810811,19.809828,-8.084280,15.750274,-3.694032,0.491462,-4.251811,-1.633226,-1.232316,0.941524,-2.203471
110,5.081637,44,7,2.808120,4.266808,218 days 10:00:00,857.441068,-14.255893,-50.755473,11.635820,18.039296,177 days 17:00:00,37,11.111111,24.796037,-11.152221,15.316369,-3.371428,0.492948,-4.126421,-2.012091,-1.256420,0.904998,-2.710726
52,4.812852,46,10,2.416510,4.766561,218 days 10:00:00,778.077254,-22.192275,-50.755473,17.711303,25.039508,214 days 19:00:00,54,9.433962,20.234146,-8.535704,13.645935,-3.158187,0.468768,-4.320511,-2.637440,-1.367897,0.886997,-3.673863
143,5.136320,41,20,2.906828,3.544264,218 days 10:00:00,851.702433,-14.829757,-50.755473,8.375471,15.180123,198 days 18:00:00,29,10.344828,13.055979,-8.809430,11.512468,-3.553269,0.387699,-5.113709,-2.562647,-1.549917,0.850315,-3.375644
86,2.001821,47,15,2.860731,3.013904,218 days 10:00:00,794.349667,-20.565033,-50.755473,11.271237,23.158886,214 days 00:00:00,44,11.627907,8.268337,-9.766751,7.583713,-4.038311,0.371546,-4.941248,-2.808066,-1.379061,0.893901,-3.889611
51,3.460939,39,12,2.692436,3.538825,218 days 10:00:00,811.691127,-18.830887,-50.755473,15.815262,21.348144,130 days 14:00:00,52,13.725490,17.283682,-9.234838,11.985002,-3.417942,0.536188,-3.673242,-2.206523,-1.378869,0.917231,-2.976738
103,2.589019,43,12,2.403836,3.129784,218 days 10:00:00,872.327722,-12.767228,-50.755473,14.161343,13.973402,214 days 00:00:00,39,15.789474,16.963099,-8.637168,8.753777,-3.116365,0.550696,-3.566498,-1.695813,-1.460498,0.925891,-2.252248
76,2.864066,41,14,2.497249,3.601757,218 days 10:00:00,920.163305,-7.983669,-50.755473,9.440793,12.330403,214 days 19:00:00,30,16.666667,29.001442,-8.920395,13.930256,-3.396079,0.658846,-2.661223,-1.156581,-1.052765,0.947074,-1.591609
80,2.129104,51,5,2.976615,3.822074,218 days 10:00:00,769.599683,-23.040032,-50.755473,9.356363,25.487721,214 days 00:00:00,39,5.263158,10.922800,-12.577818,9.011119,-4.529134,0.203505,-6.600766,-3.540408,-1.390639,0.872851,-4.748854
125,3.207749,35,11,2.239562,3.289790,218 days 10:00:00,878.707308,-12.129269,-50.755473,14.719717,16.455800,212 days 14:00:00,43,16.666667,13.777467,-7.237016,8.211643,-3.003069,0.597364,-3.045579,-1.600343,-1.180922,0.915053,-2.229579
